album_type;album_id;album_name;album_release_date;album_release_week;artist_id;artist_names
single;5G58VVE9ub1KE01Mvbd8XM;Therefore I Am;2020-11-12;46;6qqNVTkY8uBg9cP3Jd7DAH;Billie Eilish
album;48xpWR8K6CGpy3ETAym3pt;Pluto x Baby Pluto;2020-11-13;46;1RyvyyTE3xzB2ZywiAwp0i;Future
single;4EvukZrmNBiqJbs3LwOSHu;HOLIDAY;2020-11-13;46;7jVv8c5Fj3E9VhNjxT4snq;Lil Nas X
album;4KKRAmQ0ksj32l7mrgLOcF;Hey u x;2020-11-13;46;0Cp8WN4V8Tu4QJQwCN5Md4;BENEE
album;3fq06DDIkadDRB9RuBb22v;Afrodisíaco;2020-11-13;46;1mcTU81TzQhprhouKaTkpq;Rauw Alejandro
album;2UnqW2rFdWH6imOILxdK1H;So Help Me God!;2020-11-13;46;17lzZA2AlOHwCwFALHttmp;2 Chainz
single;6oeYpv6r7vTlbqGyAo6Isf;Studying Abroad;2020-11-13;46;3ycxRkcZ67ALN3GQJ57Vig;Masego
album;5Sskfr26AzgFTIeEYrQ4CP;Restoration: The Deluxe Album;2020-11-13;46;1CFCsEqKrCyvAFKOATQHiW;Lecrae
album;0sOeI7pbAmIc8aDFyvkBUW;Starting Over;2020-11-13;46;4YLtscXsxbVgi031ovDDdh;Chris Stapleton
single;7jRjPcWQMYGtD6gPBDZiAq;Fly Away;2020-11-13;46;2NjfBq1NflQcKSeiDooVjY;Tones And I
album;794gb1I5u9bx1IxYzKH8T2;The Night Before The Morning After;2020-11-11;46;5gsyao2Qm21EKylbVIuRQ3;11:11
album;3bTNxJYk2bwdWBMtrjBxb0;POWER UP;2020-11-13;46;711MCceyCBcFnzjGY4Q7Un;AC/DC
single;4cf30Zg83PfkYN3pr9grhF;One More Dance (with Alida);2020-11-13;46;6cEuCEZu7PAE9ZSzLLc2oQ;R3HAB
single;7Ga5rDDpZcRVkjTx4fVrm5;Nothing Left;2020-11-13;46;7vSY9HEreOqb1Llar3UC38;POORSTACY
single;3N44a4LakCxQB7iUDSmbM7;Lions, Bengals & Bears (Freestyle);2020-11-10;46;5Gqwy9rFNhFIlgk3rCUiN7;Dj Money
single;0VVV8k3utS3P1PJlIVK0aj;Jumpin Out The Face;2020-11-13;46;5zctI4wO9XSKS8XwcnqEHk;Lil Mosey
single;4sivA5FISjDDuqcFZuvPsy;Golden pt. 2 (feat. Mereba);2020-11-11;46;0WjtdWS6su0f3jrW9aqEHl;Berhana
album;6XhI0b0V8yXrEPOKPc0Jt3;30 Aniversario;2020-11-13;46;49EE6lVLgU8sp7dFgPshgM;La Adictiva Banda San José de Mesillas
album;1YuRC8Fj5XdgpuoA7yBDnr;Believe (Deluxe);2020-11-13;46;3EA9hVIzKfFiQI0Kikz2wo;Andrea Bocelli
single;0WbfaztYJGyHiW3W9qe5Xw;What's Your Country Song;2020-11-11;46;6x2LnllRG5uGarZMsD4iO8;Thomas Rhett
single;2fzspvCMzJS3oldsspoUgZ;We Did It!!!;2020-11-13;46;4ZgQDCtRqZlhLswVS6MHN4;grandson
single;2aSrN2RgX7L23NXHLQVwLc;Rock & Roll;2020-11-13;46;3EhbVgyfGd7HkpsagwL9GS;Alice Cooper
album;4Iz9kkPOr1jU0YxYR2QBln;F*ck Everybody 3;2020-11-13;46;41klVmDluQZmGGqoidNfbe;Blac Youngsta
single;22EgoSZsZ2WEEZKXaXCum6;Let Me Feel Low (feat. Miloe);2020-11-13;46;2hR4h1Cao2ueuI7Cx9c7V8;Cavetown
single;29eV6SANe6DMvrt3utCNUX;In The Darkest Of Nights, Let The Birds Sing;2020-11-13;46;7gP3bB2nilZXLfPHJhMdvc;Foster The People
album;3viPcBAym7FXyZWuvTM5T7;love + everything else;2020-11-13;46;73eAAfRkS2Vi4hx68oTJJE;John K
single;0KuZNI2beyOTVDZBsTu2A6;Get Away;2020-11-13;46;1mKtlPrXjWK6oIdk9cSOjs;Asiahn
single;7EEZMn5jGnbUgrfHlwUDCF;OHFR?;2020-11-10;46;2OaHYHb2XcFPvqL3VsyPzU;Rico Nasty
album;5lFtGwlHH9ek0vfIeNXg4E;Black On Purpose;2020-11-11;46;0rlS0SzVFk8BoiAW0fGBbN;Salaam Remi
single;785jdsvDvwgyz3eZPOR72u;OKAY (feat. Dreezy);2020-11-10;46;4T8NIfZmVY6TJFqVzN6X49;tobi lou
single;4FhUV43qyz8LIIYRF0cSZ7;25;2020-11-13;46;2R57sY41L9XvGPiIgHOaYq;The Pretty Reckless
single;4gXbWpVWH625y2Qg352TPr;Pussy Talk (feat. Quavo, Lil Wayne, & Jack Harlow) [Remix];2020-11-13;46;37hAfseJWi0G3Scife12Il;City Girls
single;703aZZCaGU2kRGjo0pGzDL;Anything;2020-11-13;46;11gWrKZMBsGQWmobv3oNfW;Alison Wonderland
album;6uD5MXsYeIOgpu2cKNvEWq;Every Road;2020-11-13;46;36eTeLNx8ErucrEyRm6JOo;Shenandoah
album;4d9fUkdY8BOJK0awqObMs6;MOVIE;2020-11-13;46;0XIKGBo9PnK1ApI5tZA60d;DaniLeigh
single;6Go01eX2LbvalYrTF8r8Ps;Girl Eats Sun;2020-11-13;46;74CcYmmNeHKe5PrZaISk8e;Hope Tala
single;3kKqOhTjrVSHtPcUE1b9Gb;Twilight;2020-11-13;46;59NO6KX7wQCG7jGdtH1NtL;Raheem DeVaughn
single;5FMkcYANuajBUi9yq27hgU;Angel;2020-11-11;46;271bbpX3pdCi56ZJA1jQ43;Lava La Rue
album;3nqsR2EBwjIFzWvAMbcEtF;Puro Teatro (Deluxe);2020-11-13;46;2VSRhqonKsL7KRAIk8SMmt;Daniela Spalla
album;2A3zdBNByKeHyD5ivtwuOV;Boots No. 2: The Lost Songs, Vol. 3;2020-11-13;46;2H5elA2mJKrHmqkN9GSfkz;Gillian Welch
album;3N1rzrLFvLAOVT8Pf5ZpbV;Libra;2020-11-12;46;22P1OY4TRFRwhP0q29loQ8;Lali
album;4GQN4YJc8mwPgxUMqX80Be;The Highway Kind;2020-11-13;46;2EJ5MRZCzpHSSNNEpTx9Kb;Josh Abbott Band
album;7LVdjWA7NyJcLrfaXv8liN;Love Absolute;2020-11-13;46;3t83f2J04dRWOpNBe9GTfs;Vivian Green
album;4ivyT3pP5juItg8Yblaqfn;Seed of Joy;2020-11-13;46;4CHiVarfTsFhkFOk5vHS77;Marc Scibilia
single;6WaKJoAyBE8DAhEShuhMjR;Kameron Marlowe - EP;2020-11-13;46;31n3CN1jSC5ALUJ9dwT8UI;Kameron Marlowe
single;4xhcTm06KVa15xIpVk1hQt;Spotify Singles;2020-11-11;46;45dkTj5sMRSjrmBSBeiHym;Tate McRae
